customer_id,issue_type,status,created_at,resolved_at,issue_description
CUST025,Technical,Closed,07/11/2016,09/07/2020,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
CUST049,General Inquiry,Open,01/07/2009,22/02/2009,velit id pretium iaculis diam erat fermentum justo nec condimentum
CUST015,Billing,Closed,14/12/2019,11/05/2005,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
CUST026,Billing,Open,14/11/2016,28/05/2014,donec quis orci eget orci vehicula condimentum curabitur in libero ut
CUST006,Billing,Open,14/05/2018,20/01/2020,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
CUST090,Billing,Closed,12/10/2021,29/10/2011,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
CUST095,Technical,Closed,18/07/2009,19/09/2011,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
CUST071,Billing,Open,20/08/2003,14/04/2004,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
CUST095,General Inquiry,Closed,23/08/2011,23/02/2003,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
CUST071,Billing,Pending,05/04/2017,08/12/2005,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
CUST019,General Inquiry,Pending,01/11/2007,04/01/2012,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
CUST057,General Inquiry,Pending,05/01/2013,11/01/2014,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus
CUST021,Billing,Closed,26/05/2011,22/11/2003,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque
CUST056,Billing,Closed,04/09/2019,03/07/2008,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis
CUST032,Technical,Pending,12/03/2014,21/07/2011,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
CUST100,General Inquiry,Open,05/03/2018,04/02/2014,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
CUST038,General Inquiry,Closed,19/01/2017,26/02/2016,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
CUST022,General Inquiry,Closed,28/10/2016,11/05/2008,consequat in consequat ut nulla sed accumsan felis ut at
CUST029,Technical,Closed,21/05/2011,07/09/2010,lorem quisque ut erat curabitur gravida nisi at nibh in hac
CUST063,General Inquiry,Pending,10/01/2003,23/10/2009,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
CUST019,General Inquiry,Open,26/05/2021,04/03/2010,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
CUST096,Technical,Closed,04/11/2003,27/05/2016,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
CUST052,General Inquiry,Pending,11/02/2015,05/09/2007,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
CUST005,Technical,Open,10/01/2021,17/06/2012,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
CUST057,Billing,Closed,23/04/2014,07/09/2009,donec ut mauris eget massa tempor convallis nulla neque libero convallis
CUST026,Billing,Closed,24/05/2021,22/11/2013,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
CUST048,Technical,Closed,14/03/2013,03/04/2007,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
CUST060,Billing,Open,18/11/2015,22/01/2020,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
CUST100,Technical,Open,23/02/2006,17/02/2006,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
CUST003,General Inquiry,Closed,20/10/2019,19/03/2007,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis
CUST006,General Inquiry,Open,11/11/2021,24/03/2011,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in
CUST077,Billing,Closed,03/12/2006,17/05/2020,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum
CUST046,Technical,Open,21/03/2009,10/07/2017,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
CUST077,Billing,Closed,22/05/2008,07/07/2021,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
CUST040,Technical,Open,09/07/2018,05/06/2004,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
CUST079,Technical,Open,05/11/2003,13/02/2012,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
CUST078,Technical,Closed,18/09/2003,24/04/2003,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
CUST013,Technical,Closed,13/09/2010,14/02/2010,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit
CUST051,General Inquiry,Open,08/01/2017,21/04/2014,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
CUST017,Billing,Closed,14/11/2019,14/03/2009,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
CUST083,Technical,Closed,08/01/2020,08/01/2015,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
CUST047,Technical,Open,01/02/2011,19/08/2015,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
CUST007,Technical,Closed,04/07/2003,05/11/2006,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
CUST067,Technical,Closed,28/03/2003,11/05/2006,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
CUST012,Technical,Pending,17/09/2019,18/06/2013,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
CUST001,Technical,Pending,21/01/2013,22/09/2017,non sodales sed tincidunt eu felis fusce posuere felis sed lacus
CUST020,Technical,Pending,19/09/2022,07/08/2016,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
CUST023,Billing,Closed,17/12/2004,21/05/2006,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
CUST074,Technical,Closed,30/10/2019,13/04/2021,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
CUST021,General Inquiry,Open,04/08/2007,22/08/2006,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
CUST013,Technical,Closed,01/04/2021,20/04/2020,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
CUST075,Billing,Open,14/03/2010,20/11/2017,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
CUST003,Technical,Pending,05/12/2015,18/05/2011,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
CUST010,General Inquiry,Pending,25/08/2021,31/03/2018,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
CUST052,Billing,Pending,05/01/2021,21/07/2021,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
CUST085,Technical,Closed,13/12/2007,07/05/2013,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
CUST011,General Inquiry,Open,20/09/2014,16/10/2003,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
CUST086,Billing,Open,26/09/2021,05/01/2010,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
CUST007,General Inquiry,Open,18/03/2012,13/02/2005,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
CUST086,Technical,Closed,24/10/2003,13/07/2006,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
CUST041,Billing,Open,29/06/2022,02/11/2009,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
CUST079,Technical,Closed,12/07/2020,13/01/2014,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
CUST093,Technical,Open,12/11/2022,26/12/2004,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
CUST025,Technical,Pending,05/04/2021,10/11/2006,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
CUST013,General Inquiry,Open,01/06/2014,17/01/2006,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
CUST084,Technical,Closed,29/10/2017,01/01/2006,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor
CUST043,General Inquiry,Open,16/10/2012,19/04/2020,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit
CUST080,General Inquiry,Closed,29/05/2009,30/11/2022,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
CUST022,General Inquiry,Pending,02/03/2019,09/01/2013,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
CUST077,Billing,Closed,20/10/2018,02/08/2010,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
CUST064,General Inquiry,Open,06/04/2014,27/07/2022,ipsum primis in faucibus orci luctus et ultrices posuere cubilia
CUST080,General Inquiry,Closed,30/12/2005,20/06/2011,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
CUST077,Billing,Open,18/02/2007,26/01/2013,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
CUST021,General Inquiry,Closed,09/01/2017,24/01/2015,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
CUST066,General Inquiry,Open,21/11/2005,16/08/2004,leo odio porttitor id consequat in consequat ut nulla sed accumsan
CUST049,Billing,Open,22/08/2007,14/02/2010,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
CUST080,Technical,Open,23/05/2022,12/07/2009,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
CUST026,Technical,Closed,08/11/2005,05/03/2007,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
CUST052,Billing,Pending,06/08/2010,13/11/2009,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
CUST071,Billing,Open,15/12/2013,07/05/2019,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
CUST048,Technical,Closed,07/12/2009,27/01/2015,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
CUST096,General Inquiry,Pending,02/10/2011,17/09/2015,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse
CUST015,General Inquiry,Open,26/10/2012,13/04/2006,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
CUST048,Technical,Open,02/02/2003,02/06/2012,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
CUST060,General Inquiry,Open,02/01/2010,27/12/2011,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
CUST077,General Inquiry,Pending,14/05/2015,12/11/2005,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
CUST032,Billing,Closed,16/03/2008,05/02/2018,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue
CUST070,Technical,Open,14/09/2008,22/09/2007,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat
CUST075,General Inquiry,Pending,07/02/2005,08/10/2003,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
CUST029,Billing,Pending,25/10/2006,19/09/2010,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
CUST022,Billing,Pending,26/08/2003,17/04/2004,nec sem duis aliquam convallis nunc proin at turpis a pede posuere
CUST035,General Inquiry,Open,04/05/2022,16/11/2016,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
CUST062,Technical,Pending,01/08/2006,12/09/2020,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
CUST057,General Inquiry,Closed,08/06/2008,17/03/2004,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
CUST063,Billing,Pending,27/03/2018,11/11/2011,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
CUST043,Technical,Closed,11/02/2004,16/05/2022,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
CUST011,General Inquiry,Pending,23/10/2007,01/08/2018,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
CUST089,General Inquiry,Pending,12/05/2011,08/05/2018,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
CUST055,General Inquiry,Pending,18/06/2019,19/10/2019,a odio in hac habitasse platea dictumst maecenas ut massa quis augue
CUST040,Technical,Pending,30/04/2014,30/03/2018,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
CUST022,Billing,Pending,28/03/2004,09/12/2018,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
CUST091,Technical,Closed,07/01/2009,09/05/2014,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
CUST038,General Inquiry,Closed,20/09/2019,20/02/2020,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse
CUST068,Technical,Pending,20/07/2022,30/11/2017,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
CUST033,General Inquiry,Pending,06/04/2008,15/09/2006,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
CUST081,Technical,Closed,15/04/2019,03/07/2006,non sodales sed tincidunt eu felis fusce posuere felis sed
CUST013,General Inquiry,Closed,03/07/2007,28/10/2019,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
CUST077,Billing,Open,03/08/2018,27/11/2004,erat volutpat in congue etiam justo etiam pretium iaculis justo in
CUST005,General Inquiry,Closed,27/05/2007,27/07/2009,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
CUST081,Billing,Pending,17/12/2020,20/12/2017,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
CUST065,Billing,Open,24/05/2014,31/05/2018,consequat in consequat ut nulla sed accumsan felis ut at dolor quis
CUST078,Technical,Pending,15/11/2010,15/09/2019,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
CUST027,Billing,Closed,22/07/2013,26/09/2012,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
CUST084,Technical,Open,16/07/2004,14/11/2007,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
CUST089,General Inquiry,Closed,22/05/2012,13/08/2020,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
